Sector,education,total_n,worked_n,total_w,worked_w,pct_worked_weekly
rural,not literate,4697,1237,16458605407,4187206472,25.44083394951034
rural,primary,2903,467,8842335912,1288677042,14.573943523804912
rural,literate: below primary,1026,183,2893314330,339897705,11.747693690785404
rural,middle,5954,683,15691895715,1686966782,10.750560752117515
rural,secondary,3006,264,8569904054,615394151,7.180875621504362
rural,higher secondary,2495,158,8198720108,460213315,5.613233638149707
urban,not literate,3477,195,6209665286,331761227,5.342658770159033
rural,graduate,1462,89,5501007964,289542264,5.263440189413258
urban,literate: below primary,935,39,1673869001,71312383,4.26033237710936
urban,middle,5782,213,9205504609,360684941,3.9181441574356177
urban,primary,2959,125,5147487995,197750075,3.841681130525881
urban,secondary,4068,133,6457828503,181504969,2.8106192184521688
urban,higher secondary,3813,82,6446461662,126923193,1.9688815299744196
urban,graduate,4105,79,7884268337,133519123,1.6934878075294508
urban,postgraduate and above,1306,20,2753627590,34270038,1.244541495896328
