State/UT,District,total_n,worked_n,total_w,worked_w,pct_worked_weekly
Jammu & Kashmir,Kulgam,90,66,67113251,47897044,71.36749194283556
Madhya Pradesh,Alirajpur,56,36,208128175,148001977,71.11097620492757
Madhya Pradesh,Tikamgarh,52,40,160241877,111411959,69.52736768054707
Madhya Pradesh,Ashoknagar,77,54,250086411,169597598,67.8155991450491
Madhya Pradesh,Chhatarpur,140,84,457560316,292870700,64.00701497898257
Meghalaya,West Garo Hills,67,37,33736246,20856764,61.82301374017726
Madhya Pradesh,Shivpuri,110,73,332979826,205731063,61.784843085358574
Jammu & Kashmir,Pulwama,97,56,71255736,42725692,59.961056328153006
Jammu & Kashmir,Budgam,98,59,75174386,43271195,57.561088693162056
Jammu & Kashmir,Anantnag,229,131,167133334,93678321,56.05005222955703
Bihar,Araria,101,35,497853687,255385836,51.2973676139512
Madhya Pradesh,Jhabua,66,31,249065765,126379156,50.74127951707855
Ladakh,Kargil,76,36,18366417,9162540,49.88746580239358
Gujarat,Kachchh,84,39,245365098,119276335,48.611777295237
Jammu & Kashmir,Kupwara,169,85,127762265,60003961,46.96532344663739
Jammu & Kashmir,Baramulla,235,106,195311269,89950458,46.05492476729543
Jammu & Kashmir,Bandipore,64,29,62179172,24691037,39.709497900679665
Uttar Pradesh,Sambhal,151,68,541966290,212014163,39.119437299319856
Bihar,Supaul,58,26,303996814,115805097,38.09418114493792
Uttar Pradesh,Rampur,96,33,327879754,123240304,37.58704296209762
Bihar,Madhubani,225,88,1187368029,439931154,37.05095162200969
Uttar Pradesh,Bahraich,75,32,303980812,110352235,36.302368650821286
Uttar Pradesh,Budaun,225,71,789009542,285283959,36.1572254597651
Bihar,Samastipur,186,52,961155872,337806759,35.145887242730176
Tamil Nadu,Thanjavur,52,17,119095191,41017514,34.44094900523733
Uttar Pradesh,Gorakhpur,101,36,402191260,134403888,33.41790371078675
Odisha,Baleshwar,172,53,417623300,134654343,32.24301493714551
Uttar Pradesh,Sant Kabir Nagar,81,24,307863369,97795834,31.765985774033414
Odisha,Bargarh,73,23,160687765,48320104,30.070804706257505
Bihar,Katihar,91,28,526983121,151965583,28.836897605302998
Odisha,Balangir,65,19,163740186,45741726,27.935552729859484
