State/UT,total_n,no_contract_n,no_contract_leave_n,total_w,no_contract_w,no_contract_leave_w,pct_no_contract,pct_leave_among_no_contract
Punjab,249,194,99,395350902,316541714,148110066,80.06601537992697,46.790062557126355
Rajasthan,191,111,54,471496096,287625957,141533530,61.0028289608574,49.20749555298307
Gujarat,681,357,209,2240475401,1195814861,751084547,53.373264462813,62.80943409349384
Uttarakhand,207,94,43,273256533,119355410,57961711,43.678886169576046,48.56228217891422
D & N Haveli and Daman & Diu,281,105,67,141114217,56352852,38221502,39.93421300704237,67.82531964841814
Andhra Pradesh,271,99,63,633415700,220188991,141536776,34.762161878841965,64.27967872381049
Himachal Pradesh,176,52,39,145454238,46404877,28286485,31.903420373354813,60.955845222906206
Assam,338,62,27,755593186,219455182,44782821,29.04409225310298,20.406362972098787
Maharashtra,1406,309,187,4433699600,1273597200,869380576,28.725383199168476,68.26181590223345
Haryana,483,159,72,1017519016,290052624,109954560,28.505867648570806,37.90848656483797
Uttar Pradesh,455,139,38,1462280105,413679053,105588856,28.290000772458022,25.524341934712368
Telangana,352,70,29,1075953105,257373019,95096467,23.920468076533876,36.94888740454958
Kerala,238,47,30,449654726,107142547,66978108,23.82773732928585,62.513081754533985
Delhi,195,56,53,479254141,104341603,99404158,21.77166435792988,95.26799966835856
Puducherry,102,23,16,60169402,12560022,7758894,20.874433819368853,61.774525554174986
Madhya Pradesh,217,37,8,515052138,107067944,42557869,20.787787507446478,39.748469439181534
Jharkhand,198,40,28,309960700,60928320,39251853,19.656788747734794,64.4230023082862
Tamil Nadu,1003,201,111,2606486977,464994538,245245883,17.839894927662247,52.74166962365481
Odisha,197,33,8,268770107,40648481,11170277,15.12388466623634,27.48018308482425
Karnataka,669,88,28,2068137026,300490734,117627342,14.529536980495992,39.14508125897819
West Bengal,432,54,20,1154395339,128457169,36274318,11.127658321219192,28.238453550225756
Goa,113,4,0,73025202,3344752,,4.580270794731934,
