State/UT,District,households,substitute_households,pct_substitute_households
Delhi,West,199,112,56.28140703517588
Delhi,North East,168,94,55.95238095238095
Delhi,North West,208,109,52.40384615384615
Delhi,East,152,77,50.6578947368421
Maharashtra,Thane,760,335,44.078947368421055
Maharashtra,Mumbai Suburban,1059,460,43.43720491029273
Chandigarh,Chandigarh,383,146,38.1201044386423
Maharashtra,Raigad,240,86,35.833333333333336
Maharashtra,Palghar,144,51,35.416666666666664
Karnataka,Bengaluru (Urban),880,301,34.20454545454545
West Bengal,Kolkata,446,147,32.95964125560538
Kerala,Thiruvananthapuram,408,130,31.862745098039216
Madhya Pradesh,Indore,232,73,31.46551724137931
Tamil Nadu,Tirunelveli,144,44,30.555555555555557
Uttar Pradesh,Gautam Buddha Nagar,184,55,29.891304347826086
Tamil Nadu,Kanniyakumari,144,42,29.166666666666668
Jammu & Kashmir,Rajouri,136,38,27.941176470588236
Goa,South Goa,200,55,27.5
Karnataka,Dakshina Kannada,160,44,27.5
Tamil Nadu,Thoothukudi,208,57,27.403846153846153
West Bengal,Howrah,392,106,27.040816326530614
Uttar Pradesh,Hapur,112,30,26.785714285714285
Punjab,"Sahibzada Ajit Singh
Nagar",176,47,26.704545454545453
Rajasthan,Jaipur,528,141,26.704545454545453
Tamil Nadu,Chennai,512,136,26.5625
Tamil Nadu,Kancheepuram,208,55,26.442307692307693
Kerala,Idukki,144,38,26.38888888888889
Punjab,Ludhiana,440,114,25.90909090909091
Rajasthan,Dausa,112,29,25.892857142857142
Punjab,Patiala,144,37,25.694444444444443
Uttar Pradesh,Ghaziabad,264,67,25.37878787878788
Karnataka,Kalaburagi,144,36,25.0
Haryana,Yamunanagar,136,34,25.0
West Bengal,North Twenty Four Parganas,880,218,24.772727272727273
Tamil Nadu,Thiruvallur,336,82,24.404761904761905
Gujarat,Bharuch,112,27,24.107142857142858
Punjab,Sangrur,216,52,24.074074074074073
Karnataka,Bidar,104,25,24.03846153846154
Haryana,Panipat,136,32,23.529411764705884
Karnataka,Dharwad,168,38,22.61904761904762
Kerala,Alappuzha,368,82,22.282608695652176
Haryana,Kaithal,136,30,22.058823529411764
Maharashtra,Buldhana,224,49,21.875
Karnataka,Tumakuru,160,35,21.875
Sikkim,Gangtok,248,54,21.774193548387096
Goa,North Goa,248,53,21.370967741935484
Gujarat,Surat,423,90,21.27659574468085
Karnataka,Ramanagara,104,22,21.153846153846153
Punjab,Ferozepur,104,22,21.153846153846153
Kerala,Pathanamthitta,128,27,21.09375
Jammu & Kashmir,Jammu,496,103,20.766129032258064
Rajasthan,Tonk,112,23,20.535714285714285
Haryana,Gurugram,224,45,20.089285714285715
Punjab,Fazilka,184,35,19.02173913043478
Kerala,Ernakulam,392,74,18.877551020408163
Chhattisgarh,Raipur,256,48,18.75
D & N Haveli and Daman & Diu,Dadra & Nagar  Haveli,176,33,18.75
Rajasthan,Churu,128,24,18.75
Madhya Pradesh,hopal,224,42,18.75
Gujarat,Vadodara,184,34,18.47826086956522
Karnataka,Mysuru,160,29,18.125
Gujarat,Ahmadabad,439,79,17.995444191343964
Karnataka,Mandya,168,30,17.857142857142858
Madhya Pradesh,Dhar,136,24,17.647058823529413
Himachal Pradesh,Shimla,256,45,17.578125
Rajasthan,Sikar,120,21,17.5
Tamil Nadu,Ranipet,160,28,17.5
Uttar Pradesh,Mathura,168,29,17.261904761904763
Andhra Pradesh,Ntr,240,41,17.083333333333332
Andhra Pradesh,Kakinada,176,30,17.045454545454547
Uttar Pradesh,Lucknow,256,43,16.796875
Uttar Pradesh,Siddharthnagar,120,20,16.666666666666668
Himachal Pradesh,Chamba,168,28,16.666666666666668
Andhra Pradesh,East Godavari,144,24,16.666666666666668
Maharashtra,Nashik,368,61,16.57608695652174
Haryana,Sonipat,176,29,16.477272727272727
A & N Islands,South Andaman,336,55,16.36904761904762
Kerala,Kottayam,184,30,16.304347826086957
Rajasthan,Jodhpur,344,56,16.27906976744186
Maharashtra,Ahmednagar,240,39,16.25
Maharashtra,Pune,704,114,16.193181818181817
Telangana,Rangareddy,880,141,16.022727272727273
Andhra Pradesh,Visakhapatnam,208,33,15.865384615384615
Uttar Pradesh,Hardoi,120,19,15.833333333333334
Maharashtra,Sangli,152,24,15.789473684210526
Punjab,Hoshiarpur,184,29,15.76086956521739
Kerala,Kollam,432,68,15.74074074074074
Gujarat,Valsad,128,20,15.625
Uttar Pradesh,Firozabad,128,20,15.625
D & N Haveli and Daman & Diu,Daman,136,21,15.441176470588236
Uttar Pradesh,Agra,248,38,15.32258064516129
Punjab,Jalandhar,399,61,15.288220551378446
Uttar Pradesh,Mirzapur,144,22,15.277777777777779
Rajasthan,Pali,120,18,15.0
Uttar Pradesh,Sultanpur,160,24,15.0
Uttar Pradesh,Muzaffarnagar,160,24,15.0
Punjab,Gurdaspur,160,24,15.0
Tamil Nadu,Tiruvannamalai,208,31,14.903846153846153
Chhattisgarh,Korba,128,19,14.84375
Maharashtra,Yavatmal,184,27,14.673913043478262
Uttarakhand,Dehradun,424,62,14.622641509433961
West Bengal,South Twenty Four Parganas,528,77,14.583333333333334
Uttar Pradesh,Saharanpur,192,28,14.583333333333334
Lakshadweep,Lakshadweep,192,28,14.583333333333334
Ladakh,Leh,152,22,14.473684210526315
Tamil Nadu,Madurai,312,45,14.423076923076923
Chhattisgarh,Janjgir-Champa,104,15,14.423076923076923
Telangana,Karimnagar,104,15,14.423076923076923
Jammu & Kashmir,Budgam,160,23,14.375
Himachal Pradesh,Sirmaur,160,23,14.375
Puducherry,Puducherry,432,62,14.351851851851851
Tamil Nadu,Virudhunagar,176,25,14.204545454545455
Haryana,Ambala,120,17,14.166666666666666
Jammu & Kashmir,Kathua,120,17,14.166666666666666
Chhattisgarh,Rajnandgaon,120,17,14.166666666666666
Punjab,Amritsar,192,27,14.0625
Maharashtra,Kolhapur,328,46,14.024390243902438
Chhattisgarh,Durg,200,28,14.0
Uttar Pradesh,Kheri,136,19,13.970588235294118
Sikkim,08,136,19,13.970588235294118
Punjab,Bathinda,208,29,13.942307692307692
Jammu & Kashmir,Srinagar,560,78,13.928571428571429
Tamil Nadu,Chengalpattu,296,41,13.85135135135135
Odisha,Sundargarh,232,32,13.793103448275861
Himachal Pradesh,Solan,272,37,13.602941176470589
Uttar Pradesh,Sitapur,192,26,13.541666666666666
Maharashtra,Satara,200,27,13.5
Chhattisgarh,Bilaspur,208,28,13.461538461538462
Tamil Nadu,Vellore,112,15,13.392857142857142
Karnataka,Chikkamagaluru,128,17,13.28125
Uttar Pradesh,Mau,144,19,13.194444444444445
Rajasthan,Sri Ganganagar,144,19,13.194444444444445
Uttar Pradesh,Meerut,176,23,13.068181818181818
Maharashtra,Chhatrapati Sambhajinagar,184,24,13.043478260869565
Haryana,Faridabad,192,25,13.020833333333334
Rajasthan,Ajmer,200,26,13.0
Uttar Pradesh,Bareilly,144,18,12.5
Uttar Pradesh,Jaunpur,192,24,12.5
Uttar Pradesh,Mahrajganj,128,16,12.5
Uttar Pradesh,Azamgarh,184,23,12.5
Himachal Pradesh,Hamirpur,136,17,12.5
Rajasthan,Hanumangarh,113,14,12.389380530973451
Assam,Tinsukia,184,22,11.956521739130435
Maharashtra,Wardha,144,17,11.805555555555555
Haryana,Karnal,144,17,11.805555555555555
Rajasthan,Barmer,136,16,11.764705882352942
Tamil Nadu,Thiruvarur,136,16,11.764705882352942
Andhra Pradesh,Krishna,128,15,11.71875
Haryana,Bhiwani,120,14,11.666666666666666
Uttar Pradesh,Ayodhya,112,13,11.607142857142858
Maharashtra,Nagpur,336,39,11.607142857142858
Sikkim,10,104,12,11.538461538461538
Haryana,Jind,208,24,11.538461538461538
Ladakh,Kargil,104,12,11.538461538461538
Himachal Pradesh,Una,104,12,11.538461538461538
West Bengal,Hooghly,376,43,11.436170212765957
Rajasthan,Udaipur,160,18,11.25
Arunachal Pradesh,Changlang,152,17,11.18421052631579
Himachal Pradesh,Mandi,336,37,11.011904761904763
Tamil Nadu,Sivaganga,192,21,10.9375
Madhya Pradesh,Ratlam,128,14,10.9375
Gujarat,Kachchh,128,14,10.9375
Madhya Pradesh,Morena,104,11,10.576923076923077
Maharashtra,Jalgaon,312,33,10.576923076923077
Odisha,Sambalpur,104,11,10.576923076923077
Maharashtra,Dhule,144,15,10.416666666666666
Gujarat,Mahesana,144,15,10.416666666666666
Maharashtra,Nanded,216,22,10.185185185185185
Madhya Pradesh,Gwalior,128,13,10.15625
Maharashtra,Solapur,296,30,10.135135135135135
Maharashtra,Jalna,168,17,10.119047619047619
Odisha,Bargarh,168,17,10.119047619047619
Madhya Pradesh,Barwani,119,12,10.084033613445378
Andhra Pradesh,Dr. Br Ambedkar Konaseema,120,12,10.0
Rajasthan,Alwar,232,23,9.913793103448276
Madhya Pradesh,Khargone (West Nimar),112,11,9.821428571428571
Bihar,Purba Champaran,144,14,9.722222222222221
Uttarakhand,Haridwar,360,35,9.722222222222221
Andhra Pradesh,Annamayya,176,17,9.659090909090908
Jammu & Kashmir,Anantnag,280,27,9.642857142857142
Arunachal Pradesh,West Siang,104,10,9.615384615384615
Tamil Nadu,Theni,136,13,9.558823529411764
Uttar Pradesh,Basti,136,13,9.558823529411764
Uttar Pradesh,Varanasi,136,13,9.558823529411764
Haryana,Hisar,200,19,9.5
Maharashtra,Amravati,222,21,9.45945945945946
Assam,Dibrugarh,160,15,9.375
Jammu & Kashmir,Kupwara,160,15,9.375
Kerala,Palakkad,344,32,9.30232558139535
Kerala,Kannur,312,29,9.294871794871796
Rajasthan,Nagaur,248,23,9.274193548387096
Uttar Pradesh,Gorakhpur,120,11,9.166666666666666
Tamil Nadu,Ramanathapuram,120,11,9.166666666666666
Karnataka,Davanagere,120,11,9.166666666666666
Tamil Nadu,Dindigul,208,19,9.134615384615385
Uttar Pradesh,Budaun,176,16,9.090909090909092
Gujarat,Rajkot,168,15,8.928571428571429
Madhya Pradesh,Jabalpur,224,20,8.928571428571429
Gujarat,Dohad,112,10,8.928571428571429
Kerala,Kozhikode,520,46,8.846153846153847
Rajasthan,Chittorgarh,104,9,8.653846153846153
