sector,cws_status,n,wt,pct_within_workers
rural,worked as helper in h.h. enterprise (unpaid family worker),1452,4701661530,47.4
rural,worked in h.h. enterprise (self-employed): own account worker,1650,4231174491,42.6
rural,worked as casual wage labour: in other types of work,113,466854916,4.7
rural,worked as casual wage labour in MGNREG works,183,398132607,4.0
rural,worked as regular salaried/wage employee,28,52842707,0.5
rural,had work in h.h. enterprise but did not work due to: other reasons,26,40698328,0.4
rural,worked as casual wage labour in public works other than MGNREG works,8,14223135,0.1
rural,worked in h.h. enterprise (self-employed): employer,5,10343667,0.1
rural,had regular salaried/wage employment but did not work due to: other reasons,3,6866736,0.1
urban,worked in h.h. enterprise (self-employed): own account worker,549,880777350,53.8
urban,worked as helper in h.h. enterprise (unpaid family worker),268,398038943,24.3
urban,worked as regular salaried/wage employee,100,195875468,12.0
urban,worked as casual wage labour: in other types of work,41,73025507,4.5
urban,worked as casual wage labour in MGNREG works,33,47865163,2.9
urban,had work in h.h. enterprise but did not work due to: other reasons,14,23119099,1.4
urban,worked in h.h. enterprise (self-employed): employer,6,9266040,0.6
urban,worked as casual wage labour in public works other than MGNREG works,3,5735018,0.4
urban,had work in h.h. enterprise but did not work due to: sickness,1,2999911,0.2
