sector,work_status,cells,wt
rural,worked in h.h. enterprise (self-employed): own account worker,9824,25396598793
rural,worked as helper in h.h. enterprise (unpaid family worker),7051,22437098912
rural,worked as casual wage labour: in other types of work,429,1684828716
rural,worked as casual wage labour in MGNREG works,662,1636665446
rural,had work in h.h. enterprise but did not work due to: other reasons,298,682472375
rural,worked as regular salaried/wage employee,184,370848914
rural,worked in h.h. enterprise (self-employed): employer,40,73106455
rural,had work in h.h. enterprise but did not work due to: sickness,19,57487485
rural,worked as casual wage labour in public works other than MGNREG works,31,54665496
urban,worked in h.h. enterprise (self-employed): own account worker,2909,4686224794
urban,worked as helper in h.h. enterprise (unpaid family worker),1394,2157752709
urban,worked as regular salaried/wage employee,629,1237460138
urban,had work in h.h. enterprise but did not work due to: other reasons,239,547025497
urban,worked as casual wage labour: in other types of work,177,320440205
urban,worked as casual wage labour in MGNREG works,137,195042135
urban,worked in h.h. enterprise (self-employed): employer,30,44793043
urban,had work in h.h. enterprise but did not work due to: sickness,11,27978399
urban,worked as casual wage labour in public works other than MGNREG works,8,15034245
