age_band,education_band,sector,marital_status,sample_n,weighted_pop,raw_salaried_pct,weighted_salaried_pct,raw_domestic_only_pct,weighted_domestic_only_pct,raw_any_work_pct,weighted_any_work_pct
25-34,below_secondary,rural,never married,596,1003963364,8.6,9.0,24.5,27.5,51.2,37.3
25-34,below_secondary,rural,currently married,9257,29724359928,2.1,1.9,36.9,38.2,36.5,33.0
25-34,below_secondary,urban,never married,403,457361864,20.1,27.2,36.0,41.4,42.9,38.4
25-34,below_secondary,urban,currently married,4262,7923919133,10.2,11.1,60.8,62.0,22.6,23.0
25-34,graduate+,rural,never married,648,1723060822,32.6,27.5,11.4,18.3,43.5,38.6
25-34,graduate+,rural,currently married,1925,6425610829,15.4,11.1,43.3,51.5,28.4,21.5
25-34,graduate+,urban,never married,1668,2393892896,41.7,47.7,11.3,13.6,50.8,54.7
25-34,graduate+,urban,currently married,3634,6791866379,18.7,20.5,57.5,60.8,24.4,25.7
25-34,secondary_to_hs,rural,never married,377,640144181,13.5,8.3,23.9,40.1,52.3,33.8
25-34,secondary_to_hs,rural,currently married,5183,13418531560,4.7,3.8,40.9,48.1,33.0,27.8
25-34,secondary_to_hs,urban,never married,373,407694898,26.3,28.5,28.2,40.8,45.0,40.1
25-34,secondary_to_hs,urban,currently married,3390,5458051423,6.9,7.1,66.4,69.8,17.2,16.0
35-44,below_secondary,rural,widowed,761,2189944295,14.5,12.6,7.9,8.1,81.2,78.9
35-44,below_secondary,rural,currently married,13758,36065219763,3.7,2.8,26.1,28.1,53.3,48.8
35-44,below_secondary,urban,widowed,472,852850006,37.1,43.4,19.7,17.4,67.4,71.7
35-44,below_secondary,urban,currently married,6533,10489312973,13.0,14.8,54.1,54.8,32.5,32.3
35-44,graduate+,rural,currently married,710,2219060886,31.5,23.1,32.4,42.0,48.7,37.5
35-44,graduate+,urban,never married,194,291999505,59.8,57.7,12.9,16.6,74.7,71.7
35-44,graduate+,urban,currently married,2740,4968112150,28.3,24.6,49.7,56.1,37.2,32.5
35-44,secondary_to_hs,rural,currently married,2540,7537102076,8.9,6.8,30.5,35.1,47.0,42.0
35-44,secondary_to_hs,urban,currently married,3281,4866214753,10.1,10.5,58.0,62.6,26.9,24.5
