sex,marital_status,education_band,sector,household_type,sample_n,weighted_pop,raw_unemployed_pct,weighted_unemployed_pct,raw_salaried_pct,weighted_salaried_pct
male,never married,graduate+,rural,self-employed in agriculture,571,1664247751,30.6,27.9,16.8,15.1
female,never married,graduate+,urban,self-employed,513,674845910,31.2,26.7,19.1,21.9
male,never married,graduate+,rural,self-employed in non-agriculture,288,677276672,27.4,23.1,10.8,10.0
male,never married,graduate+,urban,self-employed,936,1400238603,22.4,17.7,19.7,21.5
female,never married,graduate+,rural,regular wage/salary earning,310,686574671,24.5,15.8,55.5,49.2
male,never married,graduate+,rural,regular wage/salary earning,608,1416775209,16.9,15.5,72.9,68.7
male,never married,graduate+,urban,regular wage/salary earning,1772,2993541845,18.0,15.0,73.0,77.2
female,never married,graduate+,urban,regular wage/salary earning,1003,1514114660,20.8,14.1,59.3,65.4
male,never married,below_secondary,rural,self-employed in non-agriculture,381,921512334,5.8,9.6,9.2,12.0
male,never married,secondary_to_hs,rural,regular wage/salary earning,485,1032052803,6.2,8.3,75.7,72.0
male,never married,below_secondary,urban,regular wage/salary earning,776,1265693719,8.2,7.4,71.3,75.8
male,never married,below_secondary,rural,regular wage/salary earning,463,1123964090,5.6,7.4,60.5,65.8
male,never married,secondary_to_hs,urban,regular wage/salary earning,819,1224771444,10.5,7.3,74.1,74.0
male,never married,below_secondary,rural,self-employed in agriculture,708,1685084297,5.2,6.9,7.9,7.5
male,never married,secondary_to_hs,urban,self-employed,623,826787577,7.2,5.5,15.9,14.8
male,never married,secondary_to_hs,rural,self-employed in non-agriculture,386,789024915,7.5,5.2,9.8,10.7
male,never married,secondary_to_hs,rural,self-employed in agriculture,634,1439958814,6.8,4.6,12.8,16.2
male,never married,below_secondary,urban,self-employed,600,875623653,5.3,4.1,12.8,17.0
male,never married,below_secondary,urban,casual labour,279,520349141,1.8,1.6,4.7,3.6
male,never married,below_secondary,rural,casual labour in non-agriculture,394,1108772197,3.6,1.5,5.6,3.4
