sex,marital_status,age_band,education_band,sector,household_type,sample_n,weighted_pop,raw_domestic_only_pct,weighted_domestic_only_pct,raw_salaried_pct,weighted_salaried_pct
female,currently married,25-34,secondary_to_hs,urban,regular wage/salary earning,1544,2631173114,67.0,71.1,11.6,11.2
female,currently married,35-44,secondary_to_hs,urban,regular wage/salary earning,1435,2089259965,57.6,64.2,16.0,15.8
female,currently married,25-34,below_secondary,urban,regular wage/salary earning,1677,3237086446,61.5,61.4,17.0,18.5
female,currently married,25-34,graduate+,urban,regular wage/salary earning,2201,4350843047,55.4,58.2,26.2,27.8
female,currently married,35-44,below_secondary,urban,regular wage/salary earning,2442,3977823699,52.7,53.2,23.7,25.5
female,currently married,35-44,graduate+,urban,regular wage/salary earning,1588,2962610351,45.3,53.2,39.7,32.6
female,currently married,25-34,secondary_to_hs,rural,regular wage/salary earning,1006,2623057638,45.2,51.1,12.0,11.1
female,currently married,25-34,graduate+,rural,regular wage/salary earning,660,2286090711,37.3,47.0,32.3,21.8
female,currently married,25-34,below_secondary,rural,regular wage/salary earning,1550,3598329270,43.0,43.3,8.0,10.7
female,currently married,35-44,secondary_to_hs,rural,regular wage/salary earning,626,1782012821,35.6,40.9,18.7,14.7
female,currently married,35-44,graduate+,rural,regular wage/salary earning,342,1022963696,29.5,40.2,50.6,37.0
female,currently married,35-44,below_secondary,rural,regular wage/salary earning,2025,4144697410,31.3,34.0,13.8,13.6
female,never married,25-34,graduate+,rural,regular wage/salary earning,310,686574671,7.4,16.1,55.5,49.2
female,widowed,35-44,below_secondary,urban,regular wage/salary earning,248,487815792,18.1,14.3,67.3,72.9
female,never married,25-34,graduate+,urban,regular wage/salary earning,1003,1514114660,7.2,9.3,59.3,65.4
male,never married,25-34,below_secondary,rural,regular wage/salary earning,463,1123964090,1.3,0.5,60.5,65.8
male,never married,25-34,secondary_to_hs,urban,regular wage/salary earning,819,1224771444,0.6,0.5,74.1,74.0
male,never married,25-34,below_secondary,urban,regular wage/salary earning,776,1265693719,0.5,0.3,71.3,75.8
male,currently married,25-34,secondary_to_hs,urban,regular wage/salary earning,1148,1860126431,0.2,0.2,92.8,93.4
male,currently married,35-44,below_secondary,urban,regular wage/salary earning,1906,3521411076,0.1,0.1,90.2,90.4
male,never married,25-34,graduate+,urban,regular wage/salary earning,1772,2993541845,0.1,0.1,73.0,77.2
male,currently married,25-34,graduate+,urban,regular wage/salary earning,1622,3151559805,0.1,0.1,91.0,90.1
male,currently married,25-34,below_secondary,urban,regular wage/salary earning,1244,2537040151,0.1,0.0,90.3,92.7
male,currently married,35-44,secondary_to_hs,urban,regular wage/salary earning,1577,2516585816,0.0,0.0,93.7,94.9
male,never married,25-34,graduate+,rural,regular wage/salary earning,608,1416775209,0.0,0.0,72.9,68.7
male,never married,25-34,secondary_to_hs,rural,regular wage/salary earning,485,1032052803,0.0,0.0,75.7,72.0
male,currently married,25-34,below_secondary,rural,regular wage/salary earning,951,2828339065,0.0,0.0,83.7,84.1
male,currently married,35-44,below_secondary,rural,regular wage/salary earning,1359,3511028706,0.1,0.0,84.3,87.9
male,currently married,25-34,secondary_to_hs,rural,regular wage/salary earning,836,2014949416,0.0,0.0,88.4,87.4
male,currently married,35-44,graduate+,rural,regular wage/salary earning,754,1994905976,0.0,0.0,94.7,93.3
male,currently married,25-34,graduate+,rural,regular wage/salary earning,669,2177532519,0.1,0.0,87.4,88.2
male,currently married,35-44,secondary_to_hs,rural,regular wage/salary earning,956,1843413374,0.0,0.0,91.8,89.9
male,currently married,35-44,graduate+,urban,regular wage/salary earning,2186,3936082344,0.0,0.0,96.0,96.4
male,never married,35-44,graduate+,urban,regular wage/salary earning,211,318510078,0.0,0.0,84.4,87.1
