sector,sex,workplace,n,wt,pct_no_contract,pct_no_paid_leave,pct_no_social_security,median_earnings
rural,female,no fixed workplace,1,2523376,100.0,100.0,100.0,8000.0
rural,male,no fixed workplace,358,794812039,97.7,83.1,91.5,12000.0
rural,female,rural - construction site,2,24261293,100.0,100.0,100.0,4000.0
rural,male,rural - construction site,173,420121623,95.4,92.0,94.5,15000.0
rural,male,rural - detached structure adjacent to own dwelling unit,4,34402834,94.8,100.0,100.0,11000.0
rural,female,rural - employer's dwelling unit,294,771253404,96.7,79.2,97.5,4500.0
rural,male,rural - employer's dwelling unit,167,446835497,92.5,80.1,96.5,10000.0
rural,female,rural - employer's enterprise/unit/office/shop but outside employer's dwelling,2614,5227438395,47.5,43.3,59.9,8500.0
rural,male,rural - employer's enterprise/unit/office/shop but outside employer's dwelling,6648,15511160612,57.5,49.8,55.1,15000.0
rural,female,rural - open area adjacent to own dwelling unit,1,1029389,100.0,100.0,100.0,6000.0
rural,male,rural - open area adjacent to own dwelling unit,3,10006866,100.0,100.0,93.3,15000.0
rural,female,rural - others,8,8300678,88.5,88.5,97.3,5775.0
rural,male,rural - others,359,825101571,93.9,87.6,92.5,12500.0
rural,female,rural - street with fixed location,10,37215757,99.1,99.1,49.0,6000.0
rural,male,rural - street with fixed location,50,143713179,93.9,92.4,78.9,12000.0
rural,female,urban - construction site,1,50533,100.0,100.0,100.0,9500.0
rural,male,urban - construction site,52,161198735,85.4,93.2,96.3,12750.0
rural,female,urban - detached structure adjacent to own dwelling unit,1,958599,100.0,0.0,100.0,2000.0
rural,female,urban - employer's dwelling unit,76,204383120,96.6,90.3,93.9,5750.0
rural,male,urban - employer's dwelling unit,86,232198048,92.2,86.4,91.1,11250.0
rural,female,urban - employer's enterprise/unit/office/shop but outside employer's dwelling,738,2025018021,51.1,38.3,52.4,12000.0
rural,male,urban - employer's enterprise/unit/office/shop but outside employer's dwelling,3765,11156301768,56.9,46.9,50.3,15000.0
rural,male,urban - others,132,417234424,92.2,89.6,90.1,13000.0
rural,male,urban - street with fixed location,23,90280642,81.3,64.7,74.6,12000.0
rural,female,,192,493367153,32.0,40.1,12.4,6280.0
rural,male,,216,521658223,51.3,62.5,43.4,7500.0
urban,female,no fixed workplace,7,4412881,100.0,93.9,100.0,5500.0
urban,male,no fixed workplace,251,370140641,88.8,83.4,94.2,15000.0
urban,male,rural - construction site,5,2787716,100.0,100.0,100.0,18000.0
urban,female,rural - employer's dwelling unit,3,5081110,100.0,100.0,100.0,4500.0
urban,male,rural - employer's dwelling unit,2,3201783,100.0,100.0,100.0,3800.0
urban,female,rural - employer's enterprise/unit/office/shop but outside employer's dwelling,201,334337234,31.2,21.4,29.0,27500.0
urban,male,rural - employer's enterprise/unit/office/shop but outside employer's dwelling,377,642057339,33.0,16.1,19.6,30000.0
urban,male,rural - others,9,9803964,100.0,69.6,88.0,12000.0
urban,female,rural - street with fixed location,1,2329602,100.0,100.0,100.0,3000.0
urban,male,rural - street with fixed location,1,2329602,100.0,100.0,100.0,4000.0
urban,female,urban - construction site,12,25914830,99.1,100.0,99.1,13500.0
urban,male,urban - construction site,308,727130930,95.7,83.7,97.1,16000.0
urban,female,urban - detached structure adjacent to own dwelling unit,2,1943702,100.0,97.6,100.0,9000.0
urban,male,urban - detached structure adjacent to own dwelling unit,11,11132821,64.3,86.3,86.3,17500.0
urban,female,urban - employer's dwelling unit,1680,3084825718,96.8,83.7,98.7,6000.0
urban,male,urban - employer's dwelling unit,769,1247973852,94.7,81.4,97.2,12000.0
urban,female,urban - employer's enterprise/unit/office/shop but outside employer's dwelling,6392,10486603905,45.0,35.3,42.8,15000.0
urban,male,urban - employer's enterprise/unit/office/shop but outside employer's dwelling,20393,34995094665,48.4,41.0,44.6,18000.0
urban,transgender,urban - employer's enterprise/unit/office/shop but outside employer's dwelling,1,198471,100.0,100.0,100.0,5000.0
urban,female,urban - open area adjacent to own dwelling unit,1,809137,100.0,100.0,0.0,9000.0
urban,male,urban - open area adjacent to own dwelling unit,4,1708289,100.0,86.7,100.0,13750.0
urban,female,urban - others,21,27389055,97.7,84.4,89.1,6000.0
urban,male,urban - others,324,428891404,92.4,88.2,92.7,14610.0
urban,female,urban - street with fixed location,20,36248973,100.0,83.3,74.9,6325.0
urban,male,urban - street with fixed location,80,139105547,94.4,85.5,90.4,12000.0
urban,male,urban - structure attached to own dwelling unit,1,413143,100.0,100.0,100.0,15000.0
urban,female,,18,44735046,57.8,89.8,23.5,10000.0
urban,male,,30,61546279,78.5,74.2,71.5,10000.0
