sex,sector,age_band,n,wt,pct_jobless_3y_plus,pct_jobless_1y_plus
female,urban,35-44,166,171512132,57.5,88.2
female,urban,45-59,35,21292153,39.1,50.1
female,urban,25-34,919,953592181,37.4,76.7
female,rural,25-34,602,1139954650,34.2,72.9
male,urban,25-34,1177,1599438862,28.9,70.4
female,rural,35-44,76,151716230,26.8,42.6
male,rural,25-34,814,2045257394,20.3,64.5
male,urban,35-44,167,228874418,19.0,50.8
male,rural,60+,16,48972238,11.3,27.7
male,rural,35-44,84,218030431,9.8,46.8
male,urban,45-59,91,160422305,9.2,55.1
female,rural,15-24,723,1541612816,8.1,56.5
male,rural,15-24,1616,4343162276,8.0,48.5
male,urban,15-24,1388,2151347940,6.2,42.5
female,urban,15-24,787,997254346,4.8,46.0
female,rural,45-59,16,36202180,1.3,1.3
male,rural,45-59,25,52519154,0.1,38.1
male,urban,60+,20,43285081,0.0,19.5
female,rural,60+,4,9118528,0.0,0.0
female,urban,60+,2,3232803,0.0,39.3
