outcome,baseline_rate,lift,rate,weighted_yes,weighted_yes_m,weighted_n,weighted_n_m,sample_n,group_size,group_1,value_1,group_2,value_2
casual_other,0.073559,9.35,0.687734,4983001454,4.983,7245537119,7.246,2357,2,age_band,35-44,Household Type,casual labour in agriculture
casual_other,0.073559,8.87,0.652797,5442710432,5.443,8337522376,8.338,2566,2,age_band,45-59,Household Type,casual labour in agriculture
casual_other,0.073559,8.8,0.647289,12092802031,12.093,18682219964,18.682,5826,2,life_stage,working_age,Household Type,casual labour in agriculture
casual_other,0.073559,7.79,0.573367,13363999969,13.364,23307953484,23.308,7096,2,Marital Status,currently married,Household Type,casual labour in agriculture
casual_other,0.073559,7.59,0.558578,8953696913,8.954,16029450670,16.029,5476,2,age_band,35-44,Household Type,casual labour in non-agriculture
casual_other,0.073559,7.36,0.541636,2628549870,2.629,4852984352,4.853,2730,2,age_band,35-44,Household Type,casual labour
casual_other,0.073559,7.23,0.532109,3271841291,3.272,6148812719,6.149,1858,2,age_band,25-34,Household Type,casual labour in agriculture
casual_other,0.073559,7.07,0.520191,20183697729,20.184,38800588746,38.801,13166,2,life_stage,working_age,Household Type,casual labour in non-agriculture
casual_other,0.073559,7.07,0.520329,6347803964,6.348,12199590813,12.2,6813,2,life_stage,working_age,Household Type,casual labour
casual_other,0.073559,7.03,0.516779,8085247012,8.085,15645477166,15.645,8770,2,Sex,male,Household Type,casual labour
casual_other,0.073559,6.96,0.511783,2424631789,2.425,4737613121,4.738,2709,2,age_band,45-59,Household Type,casual labour
casual_other,0.073559,6.84,0.502779,334957573,0.335,666211813,0.666,287,2,Household Religion,Buddhism,Household Type,casual labour in agriculture
casual_other,0.073559,6.73,0.495291,6731010327,6.731,13590013627,13.59,4855,2,age_band,45-59,Household Type,casual labour in non-agriculture
casual_other,0.073559,6.63,0.487656,10875819428,10.876,22302245476,22.302,7125,2,Sex,male,Household Type,casual labour in agriculture
casual_other,0.073559,6.44,0.474039,8857135438,8.857,18684420399,18.684,5746,2,age_band,25-34,Household Type,casual labour in non-agriculture
casual_other,0.073559,6.42,0.472,26504884641,26.505,56154435662,56.154,18353,2,Sex,male,Household Type,casual labour in non-agriculture
casual_other,0.073559,6.42,0.471943,1835231284,1.835,3888675402,3.889,1135,2,Marital Status,widowed,Household Type,casual labour in agriculture
casual_other,0.073559,6.35,0.466828,2496599446,2.497,5348005763,5.348,2817,2,age_band,25-34,Household Type,casual labour
casual_other,0.073559,6.26,0.460281,23980435199,23.98,52099586290,52.1,17131,2,Marital Status,currently married,Household Type,casual labour in non-agriculture
casual_other,0.073559,6.2,0.456226,6879011225,6.879,15078091389,15.078,8284,2,Marital Status,currently married,Household Type,casual labour
casual_other,0.073559,5.87,0.43174,7674191443,7.674,17775021639,17.775,4709,2,General Education Level,not literate,Household Type,casual labour in agriculture
casual_other,0.073559,5.84,0.429379,3232110463,3.232,7527402063,7.527,2505,2,General Education Level,middle,Household Type,casual labour in agriculture
casual_other,0.073559,5.64,0.414908,2430007013,2.43,5856730321,5.857,3440,2,General Education Level,middle,Household Type,casual labour
casual_other,0.073559,5.46,0.401328,7989965494,7.99,19908810651,19.909,6935,2,General Education Level,middle,Household Type,casual labour in non-agriculture
casual_other,0.073559,5.37,0.394805,395880451,0.396,1002723963,1.003,888,2,Household Religion,Christianity,Household Type,casual labour in agriculture
casual_other,0.073559,5.25,0.386408,2820436147,2.82,7299118928,7.299,2360,2,General Education Level,primary,Household Type,casual labour in agriculture
casual_other,0.073559,5.2,0.382676,6497946676,6.498,16980274160,16.98,5024,2,Household Social Group,scheduled caste,Household Type,casual labour in agriculture
casual_other,0.073559,5.19,0.381932,15367647296,15.368,40236636358,40.237,11790,2,Household Religion,Hinduism,Household Type,casual labour in agriculture
casual_other,0.073559,5.19,0.381856,3635521940,3.636,9520662973,9.521,3240,2,Household Social Group,scheduled tribe,Household Type,casual labour in agriculture
casual_other,0.073559,5.17,0.380175,17603544777,17.604,46303820260,46.304,14478,1,Household Type,casual labour in agriculture,,
casual_other,0.073559,5.17,0.380175,17603544777,17.604,46303820260,46.304,14478,2,Household Type,casual labour in agriculture,Sector,rural
casual_other,0.073559,5.17,0.380393,17543217365,17.543,46118658600,46.119,14412,2,Technical Education Level,no technical education,Household Type,casual labour in agriculture
casual_other,0.073559,5.14,0.378032,5842121436,5.842,15454020817,15.454,4810,2,Household Social Group,other backward class,Household Type,casual labour in agriculture
casual_other,0.073559,5.09,0.37434,1627954725,1.628,4348862310,4.349,1404,2,Household Social Group,others,Household Type,casual labour in agriculture
