State/UT,Sector,total_n,worked_n,total_w,worked_w,pct_worked_weekly
Jammu & Kashmir,rural,1232,587,1031922323,443030958,42.93258786301108
Madhya Pradesh,rural,1641,574,5659697322,1985111489,35.07451681706734
Bihar,rural,2208,395,11341617688,2270104152,20.0156998273878
West Bengal,rural,1121,187,4234532433,651843090,15.393508027477658
Odisha,rural,2023,308,4425300624,658604044,14.882696113980437
Uttar Pradesh,rural,3968,556,16888583794,1999207415,11.837626170349806
Gujarat,rural,960,118,3308443702,382005591,11.546383297049072
Assam,rural,939,121,1828320212,198583922,10.861550438299263
Jammu & Kashmir,urban,1096,168,369205290,37832922,10.247123490565372
Rajasthan,rural,899,91,2850354237,281465881,9.874768453209628
West Bengal,urban,2094,161,4318522310,369854570,8.564377892492583
Kerala,rural,1190,105,2297652422,195646746,8.51507147585441
Tamil Nadu,rural,1492,108,4307127845,338026577,7.848073917573719
Gujarat,urban,1664,118,4340007009,315488396,7.269306140422411
Jharkhand,rural,471,38,1283268943,89657795,6.98667223960083
Madhya Pradesh,urban,1910,126,3601315983,243944822,6.773768898689832
Kerala,urban,1452,100,2142131997,143676598,6.707177624965004
Odisha,urban,947,49,1089469676,62305432,5.7188771172369925
Assam,urban,662,30,631522182,26739717,4.234169085766175
Karnataka,rural,876,31,3730700495,127043874,3.4053624559320195
Tripura,rural,727,26,361941303,10932931,3.020636470438965
Bihar,urban,960,28,1307811290,38650354,2.955346409343201
Telangana,rural,481,11,1921502153,45341770,2.359704355741099
Rajasthan,urban,1392,33,2643578771,54630373,2.066530931451484
Andhra Pradesh,urban,1308,18,2398008600,45278584,1.8881743793579389
Tamil Nadu,urban,2564,31,5542293063,82375393,1.4863052542265032
Uttarakhand,rural,311,8,592838453,7380244,1.2448996792723228
Maharashtra,rural,1718,27,6634336259,74814851,1.1276915742476539
Manipur,rural,262,4,87395379,982893,1.124650995563507
Andhra Pradesh,rural,1077,16,3945132600,43837238,1.111172739795869
Puducherry,urban,328,3,117904533,1287992,1.0924024439331776
Uttar Pradesh,urban,3041,41,6548633638,69013997,1.0538686513096398
Uttarakhand,urban,534,9,332283474,3084581,0.9282980471066099
Jharkhand,urban,875,9,968714509,8735768,0.9017897346265513
Chhattisgarh,urban,572,2,724591895,5342554,0.7373190394297745
Telangana,urban,1022,11,2245925469,15432518,0.6871340217211812
Maharashtra,urban,3456,22,8074763066,54478084,0.6746709910212492
Chhattisgarh,rural,364,3,1021975260,6347994,0.6211494787065589
Punjab,urban,595,4,759542195,4703661,0.6192757994175689
Punjab,rural,398,2,834628870,4542262,0.5442253633042912
Karnataka,urban,1556,9,3574704482,17893551,0.5005602865943423
Tripura,urban,456,2,113904232,421328,0.3698967041013893
Delhi,urban,610,2,1702293675,3154460,0.18530645130899637
Manipur,urban,447,1,54233265,62318,0.1149073359311854
Haryana,urban,722,1,1254476227,286002,0.022798518923228667
Mizoram,urban,294,0,24089451,,
Haryana,rural,479,0,1115146880,,
Arunachal Pradesh,urban,230,0,15672128,,
