age_band,marital_status,trained_m,domestic_pct,regular_pct,student_pct,search_pct
15-24,never married,0.672,9.8,13.4,50.5,15.4
15-24,currently married,0.057,34.3,1.5,19.8,16.0
15-24,divorced/separated,0.0,0.0,0.0,0.0,0.0
25-34,currently married,0.282,43.8,14.2,0.8,8.7
25-34,never married,0.132,11.1,45.5,13.1,19.5
25-34,divorced/separated,0.021,81.3,0.0,0.0,0.0
25-34,widowed,0.001,0.0,100.0,0.0,0.0
35+,currently married,0.216,40.2,23.9,0.0,0.0
35+,widowed,0.032,12.3,60.9,0.0,0.0
35+,never married,0.008,28.3,52.3,0.0,3.7
35+,divorced/separated,0.0,0.0,77.7,0.0,0.0
