technical_education,total_m,search_pct,regular_pct,student_pct
diploma or certificate (graduate and above level) in engineering/technology,0.301,44.4,27.8,13.4
diploma or certificate (graduate and above level) in agriculture,0.009,43.2,,20.6
diploma or certificate (below graduate level) in agriculture,0.052,37.4,0.3,24.6
technical degree in other subjects,0.526,36.0,28.8,11.0
technical degree in engineering/technology,1.346,33.9,38.7,16.9
diploma or certificate (graduate and above level) in other subjects,0.187,28.1,25.6,14.0
diploma or certificate (below graduate level) in crafts,0.023,26.2,,42.8
diploma or certificate (graduate and above level) in crafts,0.01,25.5,,58.0
technical degree in medicine,0.163,25.4,31.9,28.2
technical degree in crafts,0.01,25.3,1.7,5.4
diploma or certificate (graduate and above level) in medicine,0.103,21.5,13.8,47.8
diploma or certificate (below graduate level) in engineering/technology,1.292,19.6,32.9,23.4
diploma or certificate (below graduate level) in other subjects,0.831,18.3,34.2,20.0
diploma or certificate (below graduate level) in medicine,0.309,11.3,33.1,27.1
technical degree in agriculture,0.012,6.1,18.8,30.6
no technical education,164.031,4.3,7.1,49.5
