state,n,total_m,raw_working_pct,weighted_working_pct
Jammu & Kashmir,1232,1.032,47.6,42.9
Madhya Pradesh,1650,5.712,34.8,34.8
Bihar,2220,11.464,17.8,19.8
West Bengal,1122,4.235,16.7,15.4
Odisha,2025,4.436,15.2,14.8
Uttar Pradesh,4008,17.072,13.9,11.7
Gujarat,969,3.336,12.2,11.5
Assam,940,1.843,12.9,10.8
Rajasthan,916,2.942,9.9,9.6
Kerala,1190,2.298,8.8,8.5
Tamil Nadu,1492,4.307,7.2,7.8
Jharkhand,473,1.303,8.0,6.9
Karnataka,876,3.731,3.5,3.4
Tripura,727,0.362,3.6,3.0
Telangana,482,1.925,2.3,2.4
Uttarakhand,312,0.593,2.6,1.2
Maharashtra,1723,6.67,1.6,1.1
Andhra Pradesh,1077,3.945,1.5,1.1
Chhattisgarh,367,1.024,0.8,0.6
Punjab,399,0.835,0.5,0.5
Haryana,481,1.121,0.0,
