enterprise_type,nonformal_regular_m,share_of_nonformal_regular_pct
proprietary: male,32.636,54.3
Public/Private limited company,11.05,18.4
Government/local body,5.935,9.9
"employer's households (i.e., private households employing maid servant, watchman, cook, etc.)",5.142,8.6
trust/other non-profit institutions,2.195,3.7
partnership: with members from different household,0.822,1.4
proprietary: female,0.533,0.9
Public Sector Enterprises,0.503,0.8
others,0.38,0.6
Co-operative societies,0.336,0.6
partnership: with members from same household,0.282,0.5
Autonomous Bodies,0.234,0.4
