state,child_sample_n,no_child_sample_n,domestic_child_pct,domestic_no_child_pct,domestic_gap_pts,regular_child_pct,regular_no_child_pct,regular_gap_pts
Telangana,105,64,83.7,58.3,25.4,7.8,16.5,-8.7
Kerala,242,133,43.2,21.4,21.8,26.8,34.6,-7.8
Uttar Pradesh,380,180,63.3,45.1,18.2,3.1,8.8,-5.7
Maharashtra,240,176,67.3,52.9,14.4,19.9,39.4,-19.5
Tamil Nadu,394,178,70.7,57.9,12.8,10.0,27.6,-17.6
Madhya Pradesh,193,88,70.4,57.7,12.7,8.0,12.6,-4.6
Punjab,114,51,24.2,15.1,9.1,21.1,13.9,7.2
Andhra Pradesh,113,73,73.9,65.3,8.6,11.9,21.4,-9.5
Rajasthan,212,79,44.7,37.3,7.4,6.5,19.8,-13.3
Karnataka,155,87,70.9,64.5,6.4,15.7,28.3,-12.6
Haryana,112,76,33.8,27.5,6.3,10.8,14.9,-4.1
West Bengal,166,113,33.2,27.7,5.5,18.1,25.5,-7.4
Bihar,114,56,68.7,79.9,-11.2,5.1,8.1,-3.0
