occupation,sample_n,weighted_m,share_pct
Market Gardeners & Crop Growers,1639,5.491,11.6
Shop Salespersons,2450,4.85,10.2
Primary School and Early Childhood Teachers,1766,3.286,6.9
Software and Application Developers and Analysts,972,2.876,6.1
Secondary Education Teachers,1620,2.773,5.9
Managing Directors and Chief Executives,1238,2.537,5.4
General Office Clerks,1137,1.895,4.0
Finance Professionals,712,1.5,3.2
Business Services and Administration Managers,469,1.052,2.2
Keyboard Operators,492,1.028,2.2
Protective Service Workers,608,0.99,2.1
Other Teaching Professionals,521,0.875,1.8
University and Higher Education Teachers,446,0.828,1.8
Engineering Professionals (Excluding Electrotechnology),385,0.804,1.7
Legal Professionals,369,0.774,1.6
"Mining, Manufacturing and Construction Supervisors",328,0.77,1.6
"Sales, Marketing and Development Managers",305,0.754,1.6
Numerical Clerks,329,0.672,1.4
Mixed Crop and Animal Workers,249,0.664,1.4
Other Sales Workers,311,0.657,1.4
Mining and Construction Labourers,261,0.634,1.3
Sales and Purchasing Agents and Brokers,298,0.631,1.3
"Car, Van and Motorcycle Drivers",317,0.628,1.3
"Sales, Marketing and Public Relations Professionals",272,0.555,1.2
Garment and Related Trades Workers,259,0.549,1.2
