age_band,education,n,total_m,working_n,working_m,raw_working_pct,weighted_working_pct
25-44,not literate,1920,7.66,545,2.184,28.4,28.5
45-59,not literate,2520,7.753,658,1.836,26.1,23.7
25-44,primary,1632,5.045,301,0.869,18.4,17.2
15-24,not literate,257,1.046,34,0.167,13.2,16.0
25-44,literate: below primary,425,1.316,94,0.196,22.1,14.9
45-59,primary,761,2.095,114,0.287,15.0,13.7
45-59,middle,858,2.052,103,0.275,12.0,13.4
25-44,middle,3218,7.912,435,0.921,13.5,11.6
45-59,literate: below primary,499,1.155,83,0.12,16.6,10.4
60+,not literate,2828,9.129,266,0.806,9.4,8.8
15-24,middle,1878,5.729,145,0.491,7.7,8.6
25-44,secondary,1665,4.811,167,0.393,10.0,8.2
15-24,primary,510,1.702,52,0.132,10.2,7.8
25-44,higher secondary,1363,4.69,93,0.287,6.8,6.1
15-24,secondary,1063,2.605,70,0.156,6.6,6.0
45-59,secondary,278,1.154,27,0.067,9.7,5.8
45-59,higher secondary,115,0.536,8,0.031,7.0,5.7
15-24,literate: below primary,102,0.422,6,0.024,5.9,5.7
25-44,graduate,961,3.821,62,0.2,6.5,5.2
15-24,graduate,438,1.455,22,0.071,5.0,4.9
15-24,higher secondary,1017,2.973,57,0.142,5.6,4.8
60+,literate: below primary,348,0.94,23,0.044,6.6,4.7
60+,middle,330,0.86,18,0.029,5.5,3.3
60+,primary,458,1.319,18,0.036,3.9,2.7
25-44,postgraduate and above,189,0.76,10,0.016,5.3,2.1
