state,sample_n,total_m,worked_week_pct,subsidiary_pct,share_all_hidden_workers_pct
Jammu & Kashmir,2329,1.402,34.3,40.9,4.2
Madhya Pradesh,3562,9.315,23.9,34.9,19.6
Bihar,3183,12.774,18.1,22.0,20.3
Odisha,2972,5.525,13.0,27.1,6.3
West Bengal,3217,8.558,11.9,15.2,9.0
Gujarat,2638,7.681,9.1,11.7,6.1
Assam,1603,2.475,9.1,14.8,2.0
Uttar Pradesh,7065,23.649,8.7,14.2,18.2
Kerala,2643,4.442,7.6,16.5,3.0
Rajasthan,2318,5.621,6.0,15.1,3.0
Tamil Nadu,4056,9.849,4.3,11.6,3.7
Jharkhand,1348,2.271,4.3,10.3,0.9
Tripura,1184,0.476,2.4,5.5,0.1
Karnataka,2432,7.305,2.0,3.3,1.3
Telangana,1507,4.179,1.5,2.9,0.5
Andhra Pradesh,2385,6.343,1.4,3.9,0.8
Maharashtra,5183,14.748,0.9,2.3,1.1
Haryana,1205,2.379,0.0,0.4,0.0
