state,district,sample_n,homemaker_m,hidden_work_pct
Madhya Pradesh,Chhatarpur,140,0.458,64.0
Bihar,Araria,101,0.498,51.3
Uttar Pradesh,Sambhal,153,0.552,38.4
Bihar,Madhubani,225,1.187,37.1
Uttar Pradesh,Budaun,233,0.802,35.6
Bihar,Samastipur,188,0.985,34.3
Uttar Pradesh,Gorakhpur,102,0.409,32.8
Odisha,Baleshwar,172,0.418,32.2
Bihar,Sitamarhi,186,0.943,25.2
Uttar Pradesh,Shahjahanpur,109,0.456,24.9
West Bengal,Murshidabad,216,0.784,23.5
Uttar Pradesh,Kushinagar,135,0.582,18.7
West Bengal,South Twenty Four Parganas,165,0.624,18.1
Uttar Pradesh,Mahrajganj,130,0.467,16.5
Uttar Pradesh,Deoria,154,0.655,15.5
Bihar,Muzaffarpur,124,0.611,14.4
West Bengal,Birbhum,134,0.528,8.5
West Bengal,North Twenty Four Parganas,116,0.502,6.5
Bihar,Saran,191,1.054,5.2
Rajasthan,Jodhpur,139,0.451,4.5
Maharashtra,Nashik,108,0.44,4.0
Maharashtra,Kolhapur,123,0.505,2.3
Uttar Pradesh,Azamgarh,141,0.528,1.3
Uttar Pradesh,Jaunpur,189,0.807,0.0
