state,district,n,total_m,raw_working_pct,weighted_working_pct
Madhya Pradesh,Chhatarpur,140,0.458,60.0,64.0
Madhya Pradesh,Shivpuri,110,0.333,66.4,61.8
Jammu & Kashmir,Anantnag,229,0.167,57.2,56.1
Bihar,Araria,101,0.498,34.7,51.3
Jammu & Kashmir,Kupwara,169,0.128,50.3,47.0
Jammu & Kashmir,Baramulla,235,0.195,45.1,46.1
Uttar Pradesh,Sambhal,153,0.552,44.4,38.4
Bihar,Madhubani,225,1.187,39.1,37.1
Uttar Pradesh,Budaun,233,0.802,30.5,35.6
Bihar,Samastipur,188,0.985,27.7,34.3
Uttar Pradesh,Gorakhpur,102,0.409,35.3,32.8
Odisha,Baleshwar,172,0.418,30.8,32.2
Bihar,Sitamarhi,186,0.943,19.4,25.2
Uttar Pradesh,Shahjahanpur,109,0.456,31.2,24.9
West Bengal,Murshidabad,216,0.784,27.8,23.5
Odisha,Mayurbhanj,138,0.283,25.4,21.5
Uttar Pradesh,Kushinagar,135,0.582,25.2,18.7
West Bengal,South Twenty Four Parganas,165,0.624,13.9,18.1
Uttar Pradesh,Mahrajganj,130,0.467,20.0,16.5
Uttar Pradesh,Deoria,154,0.655,19.5,15.5
Bihar,Muzaffarpur,124,0.611,17.7,14.4
Odisha,Ganjam,184,0.386,13.6,13.2
Assam,Dhubri,120,0.167,20.0,13.0
Kerala,Kollam,149,0.289,12.1,11.2
Kerala,Malappuram,208,0.371,8.2,9.3
West Bengal,Birbhum,134,0.528,11.9,8.5
Odisha,Puri,103,0.195,9.7,8.0
West Bengal,North Twenty Four Parganas,116,0.502,9.5,6.5
Odisha,Kendrapara,166,0.326,4.8,5.4
Bihar,Saran,191,1.054,6.8,5.2
Odisha,Cuttack,113,0.237,8.0,5.1
Rajasthan,Jodhpur,139,0.451,5.8,4.5
Maharashtra,Nashik,108,0.44,4.6,4.0
Tripura,Dhalai,111,0.062,3.6,3.3
Odisha,Jajapur,109,0.245,3.7,3.3
Tripura,Sephijala,163,0.066,4.3,3.1
Odisha,Bhadrak,135,0.269,3.7,2.4
Maharashtra,Kolhapur,123,0.505,4.9,2.3
Uttar Pradesh,Azamgarh,141,0.528,1.4,1.3
Odisha,Khordha,119,0.218,0.8,0.7
Uttar Pradesh,Jaunpur,189,0.807,0.0,
Tripura,North Tripura,108,0.052,0.0,
Maharashtra,Solapur,107,0.344,0.0,
Maharashtra,Nanded,104,0.377,0.0,
Uttarakhand,Dehradun,100,0.235,0.0,
