sector,edu_band,household_type,married_n,never_married_n,domestic_married_pct,domestic_never_married_pct,salaried_married_pct,salaried_never_married_pct,domestic_gap_pts,salaried_gap_pts
urban,graduate+,others,115,122,71.3,17.2,0.0,0.0,54.1,0.0
urban,graduate+,regular wage/salary earning,2201,1003,55.8,7.1,25.1,57.3,48.8,-32.2
urban,graduate+,self-employed,1239,513,61.3,17.0,7.0,17.5,44.3,-10.5
urban,secondary_to_hs,self-employed,1411,142,66.3,23.2,2.6,12.0,43.1,-9.4
urban,secondary_to_hs,regular wage/salary earning,1544,190,66.7,25.8,11.9,40.5,40.9,-28.6
urban,below_secondary,regular wage/salary earning,1677,161,60.8,31.1,16.6,37.9,29.8,-21.3
rural,graduate+,regular wage/salary earning,660,310,37.0,7.7,30.9,53.9,29.2,-23.0
rural,graduate+,self-employed in agriculture,590,186,43.6,15.6,5.1,12.9,28.0,-7.8
rural,secondary_to_hs,regular wage/salary earning,1006,107,44.8,18.7,11.9,37.4,26.1,-25.5
urban,below_secondary,self-employed,1695,179,61.2,35.8,4.2,6.7,25.5,-2.5
rural,below_secondary,regular wage/salary earning,1550,133,41.6,18.8,7.8,28.6,22.8,-20.8
rural,below_secondary,self-employed in non-agriculture,1973,131,38.0,24.4,1.1,2.3,13.6,-1.2
rural,secondary_to_hs,self-employed in agriculture,1740,139,35.3,28.1,2.4,4.3,7.2,-1.9
rural,below_secondary,self-employed in agriculture,3163,235,26.9,23.0,0.3,1.3,3.9,-0.9
