occupation,sample_n,nonformal_regular_m,share_of_nonformal_regular_pct,median_monthly_earnings
Shop Salespersons,3324,6.496,11.5,10500.0
"Domestic, Hotel and Office Cleaners and Helpers",2524,4.898,8.7,7000.0
Manufacturing Labourers,1630,3.838,6.8,11875.0
"Car, Van and Motorcycle Drivers",1501,3.007,5.3,12500.0
Heavy Truck and Bus Drivers,1210,2.699,4.8,15000.0
Cooks,1307,2.637,4.7,8000.0
Protective Service Workers,1116,2.026,3.6,12000.0
Primary School and Early Childhood Teachers,890,1.75,3.1,10000.0
Machinery Mechanics and Repairers,787,1.604,2.8,12000.0
Garment and Related Trades Workers,682,1.505,2.7,12000.0
Other Sales Workers,687,1.369,2.4,12000.0
Transport and Storage Labourers,391,1.193,2.1,12000.0
Secondary Education Teachers,608,1.06,1.9,15000.0
"Textile, Fur and Leather Products Machine Operators",407,1.06,1.9,13500.0
General Office Clerks,544,1.049,1.9,15000.0
Nursing and Midwifery Associate Professionals,491,0.992,1.8,7000.0
Refuse Workers,408,0.842,1.5,8500.0
Finance Professionals,367,0.842,1.5,16500.0
"Mining, Manufacturing and Construction Supervisors",327,0.82,1.5,16500.0
"Sheet and Structural Metal Workers, Moulders and Welders",410,0.803,1.4,13000.0
Handicraft Workers,358,0.786,1.4,12000.0
Other Clerical Support Workers,405,0.728,1.3,11000.0
Keyboard Operators,318,0.71,1.3,12000.0
Electrical Equipment Installers and Repairers,348,0.709,1.3,14000.0
Mining and Construction Labourers,255,0.631,1.1,13000.0
