enterprise_type,regular_m,strict_formal_share_pct
proprietary: male,34.201,4.6
Public/Private limited company,26.066,57.6
Government/local body,19.158,69.0
"employer's households (i.e., private households employing maid servant, watchman, cook, etc.)",5.144,0.0
trust/other non-profit institutions,2.991,26.6
Public Sector Enterprises,1.347,62.6
partnership: with members from different household,1.071,23.3
proprietary: female,0.561,5.1
Co-operative societies,0.531,36.7
Autonomous Bodies,0.463,49.4
others,0.396,3.9
partnership: with members from same household,0.33,14.5
