credential,occupation,sample_n,weighted_m,median_salary
diploma or certificate (below graduate level) in engineering/technology,Machinery Mechanics and Repairers,56,0.152,15000.0
diploma or certificate (below graduate level) in engineering/technology,Electrical Equipment Installers and Repairers,54,0.111,17000.0
diploma or certificate (below graduate level) in engineering/technology,Engineering Professionals (Excluding Electrotechnology),43,0.109,35000.0
diploma or certificate (below graduate level) in engineering/technology,Shop Salespersons,38,0.078,12900.0
diploma or certificate (below graduate level) in medicine,Nursing and Midwifery Associate Professionals,39,0.074,12000.0
diploma or certificate (below graduate level) in medicine,Medical and Pharmaceutical Technicians,37,0.053,13750.0
diploma or certificate (below graduate level) in medicine,Nursing and Midwifery Professionals,42,0.053,15000.0
technical degree in engineering/technology,Software and Application Developers and Analysts,450,1.485,45000.0
technical degree in engineering/technology,Engineering Professionals (Excluding Electrotechnology),132,0.303,35000.0
technical degree in engineering/technology,"Mining, Manufacturing and Construction Supervisors",30,0.084,23850.0
technical degree in medicine,Medical Doctors,49,0.07,50000.0
technical degree in medicine,Nursing and Midwifery Professionals,32,0.055,16750.0
